superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
1995;Chaco;0;0;0;0;0;0
1995;Chubut;3073;983;49;0;2041;0
1995;Córdoba;300639;122260;1530;0;176849;0
1995;Corrientes;7899;0;3562;0;4337;0
1995;Entre Ríos;2269;0;2269;0;0;0
1995;Formosa;500;500;0;0;0;0
1995;Jujuy;0;0;0;0;0;0
1995;La Pampa;148720;148720;0;0;0;0
1995;La Rioja;4514;2;0;0;4512;0
1995;Mendoza;0;0;0;0;0;0
1995;Misiones;0;0;0;0;0;0
1995;Neuquén;20354;1125;1;0;19228;0
1995;Río Negro;9732;123;42;0;9567;0
1995;Salta;660;255;240;0;165;0
1995;San Juan;0;0;0;0;0;0
1995;San Luis;196312;75311;0;0;121001;0
1995;Santa Cruz;5695;0;0;0;5695;0
1995;Santa Fe;0;0;0;0;0;0
1995;Santiago del Estero;27294;13919;0;0;13375;0
1995;Tierra del Fuego;216;3;0;0;213;0
1995;Tucumán;69;23;0;0;46;0
1996;Buenos Aires;950;0;100;0;850;0
1996;Catamarca;148709;68728;0;0;79981;0
1996;Chaco;6184;2540;0;0;3644;0
1996;Chubut;11457;9640;76;0;1741;0
1996;Córdoba;49812;43325;0;0;6487;0
1996;Corrientes;6981;0;1232;0;5749;0
1996;Entre Ríos;1556;449;1107;0;0;0
1996;Formosa;4530;0;0;0;4530;0
1996;Jujuy;1980;1800;0;0;180;0
1996;La Pampa;20600;20600;0;0;0;0
1996;La Rioja;975;770;50;0;155;0
1996;Mendoza;6615;2500;0;0;4115;0
1996;Misiones;5305;2430;2235;0;640;0
1996;Neuquén;70258;10;11;0;70237;0
1996;Río Negro;33743;3337;3996;0;26411;0
1996;Salta;2391;815;861;0;715;0
1996;San Luis;15370;15370;0;0;0;0
1996;Santa Cruz;2856;39;0;0;2817;0
1996;Santa Fe;49038;465;0;0;48573;0
1996;Santiago del Estero;1750;1500;0;0;250;0
1996;Tierra del Fuego;105;93;0;0;12;0
1996;Tucumán;32;0;0;0;32;0
1997;Buenos Aires;3902;489;334;355;2724;0
1997;Catamarca;45900;0;0;3900;42000;0
1997;Chaco;7660;2711;909;0;4040;0
1997;Chubut;3622;151;40;46;3385;0
1997;Córdoba;39517;22213;169;3773;13362;0
1997;Corrientes;424;58;50;113;203;0
1997;Entre Ríos;857;163;353;63;278;0
1997;Formosa;2686;0;4;300;2382;0
1997;Jujuy;274;0;228;0;46;0
1997;La Pampa;31780;31770;0;10;0;0
1997;La Rioja;25003;0;0;0;25003;0
1997;Mendoza;4100;2450;0;1100;550;0
1997;Misiones;2160;54;1218;259;629;0
1997;Neuquén;17280;40;2;391;16847;0
1997;Río Negro;10482;5154;418;262;4648;0
1997;Salta;40185;23694;1253;7377;7861;0
1997;San Juan;439;0;13;32;395;0
1997;San Luis;6436;2112;0;2282;2042;0
1997;Santa Cruz;21381;0;9;6003;15369;0
1997;Santa Fe;492;40;0;38;414;0
1997;Santiago del Estero;8000;500;0;0;7500;0
1997;Tierra del Fuego;148;23;0;1;124;0
1997;Tucumán;1321;0;0;0;1321;0
1998;Buenos Aires;38971;401;1427;1723;35409;10
1998;Catamarca;2100;500;0;0;1600;0
1998;Chaco;14726;0;0;0;14726;0
1998;Chubut;7672;4045;132;742;2753;0
1998;Córdoba;20504;8817;4;9503;2180;0
1998;Corrientes;315;0;0;152;163;0
1998;Entre Ríos;461;8;312;0;141;0
1998;Formosa;711;0;0;0;711;0
1998;Jujuy;499;449;45;5;0;0
1998;La Pampa;389740;137265;0;252475;0;0
1998;La Rioja;21012;1802;0;0;19210;0
1998;Mendoza;111460;12403;0;9433;89624;0
1998;Misiones;5514;286;1246;1708;2204;70
1998;Neuquén;12393;68;7;15;12303;0
1998;Río Negro;82699;9384;505;9095;63715;0
1998;Salta;23042;14024;105;3100;5813;0
1998;San Juan;264;0;1;45;218;0
1998;San Luis;146637;87015;0;24189;35433;0
1998;Santa Cruz;3483;0;0;25;3458;0
1998;Santa Fe;535;0;0;37;498;0
1998;Santiago del Estero;2709;940;0;639;1130;0
1998;Tierra del Fuego;534;53;0;0;480;0
1999;Buenos Aires;41574;1028;2899;3166;34482;0
1999;Catamarca;1300;0;0;0;1300;0
1999;Chaco;9381;406;0;150;8826;0
1999;Chubut;27438;8904;9;3388;15136;0
1999;Córdoba;59933;22306;65;0;37562;0
1999;Corrientes;8176;12;2523;10;5631;0
1999;Entre Ríos;20237;7118;9710;0;3409;0
1999;Formosa;6240;0;0;262;5978;0
1999;Jujuy;329;43;17;42;227;0
1999;La Pampa;77270;34830;0;42440;0;0
1999;La Rioja;67025;3;0;4000;63022;0
1999;Mendoza;67239;26247;945;25436;14612;0
1999;Misiones;3675;1476;948;490;761;0
1999;Neuquén;128756;323;27;4647;123760;0
1999;Río Negro;59385;10871;1167;4585;42763;0
1999;Salta;14835;5865;70;2190;6710;0
1999;San Juan;1084;0;0;147;937;0
1999;San Luis;87157;34729;0;44416;8012;0
1999;Santa Cruz;19098;16;120;6086;12875;0
1999;Santa Fe;364;44;1;10;309;0
1999;Santiago del Estero;1200;300;0;400;500;0
1999;Tierra del Fuego;214;89;0;0;125;0
1999;Tucumán;2818;0;10;5;2803;0
2000;Buenos Aires;17927;1116;399;1902;14511;0
2000;Catamarca;77233;27000;4;26034;24195;0
2000;Chaco;2639;169;30;107;2333;0
2000;Chubut;134;27;16;42;49;0
2000;Ciudad Autónoma de Buenos Aires;32;2;1;2;28;0
2000;Córdoba;89920;20638;1198;32677;35407;0
2000;Corrientes;6014;12;3169;564;2270;0
2000;Entre Ríos;1175;646;203;145;181;0
2000;Formosa;732;0;0;64;668;0
2000;Jujuy;1167;18;400;109;640;0
2000;La Pampa;1411981;290154;0;1099828;22000;0
2000;La Rioja;52178;10880;45;11908;29345;0
2000;Mendoza;609834;385779;507;71184;152364;0
2000;Misiones;3862;161;462;1256;1983;0
2000;Neuquén;15181;0;0;10;15171;0
2000;Río Negro;155753;27619;1374;17144;109616;0
2000;Salta;30793;15533;2128;4469;8663;0
2000;San Juan;804;0;0;7;797;0
2000;San Luis;299556;149100;0;118456;32000;0
2000;Santa Cruz;7378;122;0;1579;5677;0
2000;Santa Fe;2087;128;118;354;1489;0
2000;Santiago del Estero;4732;2730;4;832;1166;0
2000;Tierra del Fuego;22;22;0;0;0;0
2000;Tucumán;15800;11800;0;0;4000;0
2001;Buenos Aires;75570;19998;731;16431;38411;0
2001;Catamarca;1916;0;0;107;1809;0
2001;Chaco;6289;55;151;576;5508;0
2001;Chubut;5885;4425;837;570;53;0
2001;Ciudad Autónoma de Buenos Aires;16;0;0;0;16;0
2001;Córdoba;83173;19234;313;5334;58292;0
2001;Corrientes;2824;762;494;2;1566;0
2001;Entre Ríos;481;67;199;79;136;0
2001;Formosa;5596;0;0;502;5094;0
2001;Jujuy;134;0;35;25;75;0
2001;La Pampa;2913817;579124;0;2334693;0;0
2001;La Rioja;65038;7400;0;40;57598;0
2001;Mendoza;420340;241056;497;107521;71266;0
2001;Misiones;2924;156;114;746;1908;0
2001;Neuquén;22552;0;0;13;22539;0
2001;Río Negro;938045;35393;16327;352575;533749;0
2001;Salta;47611;11442;438;11864;23867;0
2001;San Juan;575;1;0;44;530;0
2001;San Luis;90105;54655;0;19250;16200;0
2001;Santa Cruz;4705;501;0;1136;3069;0
2001;Santa Fe;2399;7;8;78;2307;0
2001;Santiago del Estero;1382;1140;0;19;223;0
2001;Tierra del Fuego;57;57;0;0;0;0
2001;Tucumán;600;0;0;0;600;0
2002;Buenos Aires;104907;31433;1331;4154;67989;0
2002;Catamarca;43525;9097;300;2924;31204;0
2002;Chaco;145;1;0;44;100;0
2002;Chubut;7641;156;17;7268;200;0
2002;Córdoba;104773;25734;8449;28510;42080;0
2002;Corrientes;4025;1046;735;243;2001;0
2002;Entre Ríos;496;236;119;31;111;0
2002;Formosa;9687;4;0;14;9669;0
2002;Jujuy;140;14;54;29;43;0
2002;La Pampa;985793;304458;0;668185;13150;0
2002;La Rioja;78422;40447;0;0;37975;0
2002;Mendoza;333430;90002;1500;127066;114862;0
2002;Misiones;575;49;198;106;223;0
2002;Neuquén;8440;940;3;2;7496;0
2002;Río Negro;333617;80876;2980;181769;67993;0
2002;Salta;36516;9682;611;9596;16627;0
2002;San Juan;984;14;48;4;918;0
2002;San Luis;178112;178102;10;0;0;0
2002;Santa Cruz;9865;4022;1;593;5250;0
2002;Santa Fe;2545;429;108;173;1835;0
2002;Santiago del Estero;8018;5774;0;2;2242;0
2002;Tierra del Fuego;23;19;0;0;4;0
2002;Tucumán;1049;85;0;34;930;0
2003;Buenos Aires;569736;19536;1301;2750;546149;0
2003;Catamarca;11080;6880;0;1505;2695;0
2003;Chaco;16978;1549;44;271;15114;0
2003;Chubut;44659;41;30;42841;1748;0
2003;Ciudad Autónoma de Buenos Aires;14;0;0;0;14;0
2003;Córdoba;127545;51474;3308;1;72762;0
2003;Corrientes;2132;1109;512;0;511;0
2003;Entre Ríos;1381;400;323;251;409;0
2003;Formosa;7586;402;305;194;6685;0
2003;Jujuy;259;20;16;65;159;0
2003;La Pampa;853921;418363;0;412138;23420;0
2003;La Rioja;125968;99233;2006;0;24729;0
2003;Mendoza;612387;115423;0;225903;271062;0
2003;Misiones;4381;5;1217;968;2192;0
2003;Neuquén;17908;111;271;2788;14739;0
2003;Río Negro;448244;48350;4327;220823;174744;0
2003;Salta;54857;10660;1584;15008;27605;0
2003;San Juan;2659;0;15;175;2468;0
2003;San Luis;217720;217720;0;0;0;0
2003;Santa Cruz;15494;10145;0;691;4658;0
2003;Santa Fe;4421;1256;54;178;2934;0
2003;Santiago del Estero;3474;1933;0;560;981;0
2003;Tierra del Fuego;0;0;0;0;0;0
2003;Tucumán;3563;351;22;44;3147;0
2004;Buenos Aires;23706;1538;1446;3039;17684;0
2004;Catamarca;2175;1;0;249;1925;0
2004;Chaco;5257;428;12;279;4539;0
2004;Chubut;2459;637;268;1139;414;0
2004;Ciudad Autónoma de Buenos Aires;45;0;0;0;45;0
2004;Córdoba;11473;4600;41;63;6769;0
2004;Corrientes;5159;0;1507;0;3652;0
2004;Entre Ríos;4133;635;1019;991;1489;0
2004;Formosa;2095;0;0;124;1971;0
2004;Jujuy;9796;1171;129;3145;5351;0
2004;La Pampa;239678;17875;0;110920;110883;0
2004;La Rioja;18231;9400;0;302;8529;0
2004;Mendoza;59759;15766;0;21017;22976;0
2004;Misiones;2417;15;691;521;1190;0
2004;Neuquén;25380;422;26;4442;20489;0
2004;Río Negro;40425;6288;631;11489;22016;0
2004;Salta;64675;11363;2448;18605;32259;0
2004;San Juan;856;0;19;72;765;0
2004;Santa Cruz;6451;142;11;864;5434;0
2004;Santa Fe;27430;1378;4682;899;20471;0
2004;Santiago del Estero;7180;4300;0;0;2880;0
2004;Tierra del Fuego;26;21;0;1;1;4
2004;Tucumán;968;104;8;51;806;0
2005;Buenos Aires;39799;4171;806;1457;33364;0
2005;Catamarca;31058;0;1;6329;24728;0
2005;Chaco;5143;335;300;909;3599;0
2005;Chubut;5392;999;89;993;3311;0
2005;Ciudad Autónoma de Buenos Aires;28;0;0;0;28;0
2005;Córdoba;16910;3866;4118;382;8544;0
2005;Corrientes;56595;0;3806;0;52789;0
2005;Entre Ríos;2714;146;2173;174;221;0
2005;Formosa;7943;0;0;120;7823;0
2005;Jujuy;3655;850;759;566;1480;0
2005;La Pampa;313526;58290;207;118868;136161;0
2005;La Rioja;680;639;0;0;41;0
2005;Mendoza;64986;6361;0;20177;38448;0
2005;Misiones;8966;1527;415;3719;3306;0
2005;Neuquén;22962;214;1806;1973;18970;0
2005;Río Negro;303279;92277;388;96019;114595;0
2005;Salta;61778;10876;3330;17414;30158;0
2005;San Juan;996;0;4;230;762;0
2005;San Luis;22562;22314;0;0;248;0
2005;Santa Cruz;9398;57;36;2011;7295;0
2005;Santa Fe;1911;15;177;114;1605;0
2005;Santiago del Estero;8000;3300;0;0;4700;0
2005;Tierra del Fuego;17;9;0;0;8;1
2005;Tucumán;2951;0;0;125;2826;0
2006;Buenos Aires;168086;649;796;694;165947;0
2006;Catamarca;4856;1;0;1792;3064;0
2006;Chaco;37606;15944;4250;1154;16259;0
2006;Chubut;331;75;129;75;52;0
2006;Córdoba;61769;23498;124;15160;22987;0
2006;Corrientes;7370;0;7370;0;0;0
2006;Entre Ríos;4805;345;2857;870;733;0
2006;Formosa;1691;0;0;94;1597;0
2006;Jujuy;5875;31;15;108;5722;0
2006;La Pampa;137390;34170;200;56690;46330;0
2006;La Rioja;7678;7500;0;0;178;0
2006;Mendoza;60500;4906;396;12302;42895;0
2006;Misiones;2956;24;849;20;2064;0
2006;Neuquén;7665;600;223;4369;2473;0
2006;Río Negro;141791;14222;186;61492;65891;0
2006;Salta;41163;8060;1925;12981;18198;0
2006;San Juan;656;0;0;122;534;0
2006;San Luis;20832;8440;0;0;12392;0
2006;Santa Cruz;3126;2;2;1581;1541;0
2006;Santa Fe;3047;100;607;75;2265;0
2006;Santiago del Estero;15000;12300;0;0;2700;0
2006;Tierra del Fuego;1;0;0;0;0;0
2006;Tucumán;2147;0;98;139;1910;0
2007;Buenos Aires;19106;1392;1553;268;15893;0
2007;Catamarca;24755;0;59;4746;19950;0
2007;Chaco;26213;3559;0;373;22281;0
2007;Chubut;756;47;214;291;205;0
2007;Ciudad Autónoma de Buenos Aires;8;0;0;0;8;0
2007;Córdoba;11369;4371;0;472;6526;0
2007;Corrientes;569;25;0;29;515;0
2007;Entre Ríos;549;80;150;97;223;0
2007;Formosa;3056;16;4;31;3005;0
2007;Jujuy;1498;39;546;284;629;0
2007;La Pampa;22255;7156;500;10888;3711;0
2007;La Rioja;200;19;8;67;106;0
2007;Mendoza;16167;1672;12;5169;9314;0
2007;Misiones;296;0;37;20;239;0
2007;Neuquén;1154;29;23;546;555;0
2007;Río Negro;43545;25;11;18434;25075;0
2007;Salta;36809;6993;1206;11717;16893;0
2007;San Juan;1346;0;0;161;1185;0
2007;San Luis;25660;4884;0;8571;12205;0
2007;Santa Cruz;9024;2;2;1816;7204;0
2007;Santa Fe;2794;98;95;519;2082;0
2007;Santiago del Estero;4545;0;0;950;3595;0
2007;Tierra del Fuego;16;2;0;4;9;1
2007;Tucumán;862;40;3;160;659;0
2008;Buenos Aires;68824;2083;10462;2204;54075;0
2008;Catamarca;12545;2840;274;5135;4295;0
2008;Chaco;2873;718;0;246;1909;0
2008;Chubut;9287;3459;780;1536;3512;0
2008;Ciudad Autónoma de Buenos Aires;2;0;0;0;2;0
2008;Córdoba;61542;15603;2;18228;27709;0
2008;Corrientes;8053;2880;3161;0;2012;0
2008;Entre Ríos;77893;2037;1315;27342;47200;0
2008;Formosa;4165;30;0;131;4004;0
2008;Jujuy;2647;191;392;1400;664;0
2008;La Pampa;97486;41315;0;22166;34005;0
2008;La Rioja;1017;70;0;325;622;0
2008;Mendoza;88527;827;1;10016;77682;0
2008;Misiones;1473;83;385;238;767;0
2008;Neuquén;872;136;33;217;486;0
2008;Río Negro;20349;8;20;5669;14652;0
2008;Salta;27391;4428;1294;8554;13115;0
2008;San Juan;1123;120;15;148;840;0
2008;San Luis;24150;3070;2000;0;19080;0
2008;Santa Cruz;55299;3;0;33456;21840;0
2008;Santa Fe;5001;234;179;284;4304;0
2008;Santiago del Estero;24633;0;0;3773;20860;0
2008;Tierra del Fuego;7395;4846;0;0;61;2489
2008;Tucumán;245;20;0;41;185;0
2009;Buenos Aires;34078;10032;1940;286;21821;0
2009;Catamarca;54253;7605;5429;6611;34608;0
2009;Chaco;3442;875;0;241;2326;0
2009;Chubut;368;107;28;138;95;0
2009;Ciudad Autónoma de Buenos Aires;65;5;0;5;55;0
2009;Córdoba;70247;21884;120;10500;37743;0
2009;Corrientes;15560;545;5037;3;9975;0
2009;Entre Ríos;804;0;252;0;552;0
2009;Formosa;1378;0;0;152;1226;0
2009;Jujuy;1668;334;275;388;670;0
2009;La Pampa;24926;12386;40;2500;10000;0
2009;La Rioja;3980;100;0;1010;2870;0
2009;Mendoza;25296;244;2;5485;19565;0
2009;Misiones;1478;248;508;84;639;0
2009;Neuquén;209;30;5;29;146;0
2009;Río Negro;14754;1322;808;3850;8774;0
2009;Salta;35051;4555;1116;11081;18299;0
2009;San Juan;1165;0;0;126;1039;0
2009;San Luis;486563;37445;0;324669;124449;0
2009;Santa Cruz;9848;0;0;5096;4753;0
2009;Santa Fe;3887;22;293;62;3510;0
2009;Santiago del Estero;39540;8090;0;4800;26650;0
2009;Tierra del Fuego;35;34;0;1;1;0
2009;Tucumán;4993;804;90;882;3217;0
2010;Buenos Aires;8671;1451;551;514;6156;0
2010;Catamarca;15831;564;0;1683;13583;0
2010;Chaco;3917;973;507;209;2229;0
2010;Chubut;1262;176;26;529;531;0
2010;Ciudad Autónoma de Buenos Aires;0;0;0;0;0;0
2010;Córdoba;10305;2233;790;0;7282;0
2010;Corrientes;820;0;38;4;718;60
2010;Entre Ríos;1692;802;311;35;545;0
2010;Jujuy;27145;24461;235;549;1900;0
2010;La Pampa;18391;1360;190;874;15967;0
2010;La Rioja;29271;0;130;5467;23674;0
2010;Mendoza;54196;3712;157;5528;44799;0
2010;Misiones;546;3;81;75;388;0
2010;Neuquén;595;5;19;92;480;0
2010;Río Negro;645;8;6;182;449;0
2010;Salta;3945;379;161;463;2943;0
2010;San Juan;1087;0;0;152;936;0
2010;San Luis;32325;9780;0;9143;13402;0
2010;Santa Cruz;41;4;0;8;30;0
2010;Santa Fe;2767;18;201;236;2312;0
2010;Santiago del Estero;5395;1050;0;0;4345;0
2010;Tierra del Fuego;6;3;0;3;1;0
2011;Buenos Aires;3354;229;657;90;2378;0
2011;Catamarca;12723;4165;0;4347;4212;0
2011;Chaco;8848;2526;503;245;5574;0
2011;Chubut;4169;1236;226;1273;1434;0
2011;Ciudad Autónoma de Buenos Aires;8;1;0;1;5;0
2011;Córdoba;71293;24569;0;5778;40946;0
2011;Corrientes;5876;0;1359;20;4305;192
2011;Entre Ríos;2025;34;0;21;1970;0
2011;Formosa;2415;338;0;317;1760;0
2011;Jujuy;1342;327;83;143;789;0
2011;La Pampa;78022;7300;150;3000;67572;0
2011;La Rioja;1390;0;0;70;1320;0
2011;Mendoza;10908;427;1;2303;8176;0
2011;Misiones;502;15;150;34;305;0
2011;Neuquén;10683;671;284;5045;4682;0
2011;Río Negro;15355;5;11;6233;9106;0
2011;Salta;1909;167;118;171;1454;0
2011;San Juan;20136;20;280;302;19535;0
2011;San Luis;18600;4218;0;5842;8540;0
2011;Santa Cruz;63;2;0;22;39;0
2011;Santa Fe;2490;62;197;138;2094;0
2011;Santiago del Estero;10954;7388;0;0;3565;0
2011;Tierra del Fuego;97;80;0;11;6;0
2012;Buenos Aires;98;0;10;4;84;0
2012;Catamarca;4651;4;5;591;4052;0
2012;Chaco;7771;4317;138;60;3256;0
2012;Chubut;4698;3306;261;412;719;0
2012;Ciudad Autónoma de Buenos Aires;0;0;0;0;0;0
2012;Córdoba;11130;4036;0;295;6799;0
2012;Corrientes;3557;0;770;0;2787;0
2012;Entre Ríos;2423;1591;482;19;332;0
2012;Formosa;5959;0;0;320;5639;0
2012;Jujuy;8675;1503;750;1004;5417;0
2012;La Pampa;30202;14644;0;500;15058;0
2012;La Rioja;391;6;26;7;352;0
2012;Mendoza;7006;260;9;1153;5585;0
2012;Misiones;2143;220;445;275;1204;0
2012;Neuquén;16058;397;631;6597;8433;0
2012;Río Negro;3093;376;6;974;1738;0
2012;Salta;1798;115;68;319;1296;0
2012;San Juan;636;3;20;48;565;0
2012;San Luis;50201;5841;0;9868;34492;0
2012;Santa Cruz;20499;1000;11000;8420;80;0
2012;Santa Fe;2531;5;115;164;2247;0
2012;Santiago del Estero;8970;5510;0;0;3460;0
2012;Tierra del Fuego;2576;2575;0;0;1;0
2012;Tucumán;1992;58;0;458;1476;0
2013;Buenos Aires;1968;38;12;15;1903;0
2013;Catamarca;6507;159;0;2088;4261;0
2013;Chaco;8852;710;868;2;7272;0
2013;Chubut;107;69;1;30;7;0
2013;Ciudad Autónoma de Buenos Aires;32;0;0;0;32;0
2013;Córdoba;105179;25620;7000;3550;69009;0
2013;Corrientes;1103;154;757;27;166;0
2013;Entre Ríos;11840;1185;324;41;10290;0
2013;Formosa;11293;764;0;7318;3211;0
2013;Jujuy;32042;18308;1833;6530;5371;0
2013;La Pampa;83360;44756;700;9437;28467;0
2013;La Rioja;506;0;50;16;440;0
2013;Mendoza;77018;1776;4519;21239;49484;0
2013;Misiones;870;8;48;137;678;0
2013;Neuquén;2449;1432;16;441;560;0
2013;Río Negro;1732;61;10;206;1455;0
2013;Salta;18146;0;1;1198;16947;0
2013;San Juan;452;80;1;64;308;0
2013;San Luis;54693;1617;0;24425;28651;0
2013;Santa Cruz;1504;1;0;457;1047;0
2013;Santa Fe;2478;132;86;86;2174;0
2013;Santiago del Estero;6062;3270;0;0;2792;0
2013;Tierra del Fuego;10;3;0;1;6;0
2013;Tucumán;6429;104;0;0;6325;0
2014;Buenos Aires;66104;4882;533;1500;59189;0
2014;Catamarca;10367;3;8;1097;9258;0
2014;Chaco;5245;72;79;133;4961;0
2014;Chubut;148;1;2;33;112;0
2014;Ciudad Autónoma de Buenos Aires;0;0;0;0;0;0
2014;Córdoba;4196;0;0;200;3996;0
2014;Corrientes;1640;54;1018;25;543;0
2014;Entre Ríos;1536;517;83;5;931;0
2014;Formosa;7821;11;0;207;7603;0
2014;Jujuy;1448;21;25;143;1259;0
2014;La Pampa;490635;143009;17;216073;131537;0
2014;La Rioja;1814;0;72;6;1736;0
2014;Mendoza;66156;2810;0;11003;52344;0
2014;Misiones;959;32;94;211;622;0
2014;Neuquén;627;31;24;280;292;0
2014;Río Negro;49374;4;4;14697;34668;0
2014;Salta;1615;12;0;71;1532;0
2014;San Juan;566;0;0;16;551;0
2014;San Luis;52493;2530;0;448;49515;0
2014;Santa Cruz;277;185;0;46;46;0
2014;Santa Fe;739;0;90;1;648;0
2014;Santiago del Estero;1471;27;47;290;1107;0
2014;Tierra del Fuego;9;1;0;1;8;0
2014;Tucumán;120;0;0;40;80;0
2015;Buenos Aires;5730;173;792;99;4667;0
2015;Catamarca;10852;8;55;2524;8264;0
2015;Chaco;4220;25;110;41;4044;0
2015;Chubut;40347;26987;195;6601;6564;0
2015;Ciudad Autónoma de Buenos Aires;6;0;0;0;6;0
2015;Córdoba;1280;720;50;0;510;0
2015;Corrientes;12227;0;0;0;12227;0
2015;Entre Ríos;1530;503;24;46;957;0
2015;Formosa;794;6;21;232;536;0
2015;Jujuy;1908;49;45;350;1465;0
2015;La Pampa;213804;92782;5;85110;35039;868
2015;La Rioja;511;0;58;26;427;0
2015;Mendoza;19788;1026;86;5203;13473;0
2015;Misiones;378;0;43;84;251;0
2015;Neuquén;20564;1;3;10239;10322;0
2015;Río Negro;105108;47;32;37568;67461;0
2015;Salta;1094;34;3;219;839;0
2015;San Juan;591;0;5;52;534;0
2015;San Luis;33198;3555;1835;9941;17867;0
2015;Santa Cruz;159;1;2;64;93;0
2015;Santa Fe;1177;127;38;73;939;0
2015;Santiago del Estero;1975;591;5;834;545;0
2015;Tierra del Fuego;5;2;0;1;2;0
2015;Tucumán;115;0;0;26;90;0
2016;Buenos Aires;59296;2059;404;356;56478;0
2016;Catamarca;27496;1396;172;3873;22055;0
2016;Chaco;9129;15;25;8;9081;0
2016;Chubut;9552;6327;42;2517;666;0
2016;Ciudad Autónoma de Buenos Aires;12629;0;0;0;12629;0
2016;Córdoba;3541;317;0;873;2351;0
2016;Corrientes;9980;1400;0;0;8580;0
2016;Entre Ríos;3030;1126;19;150;1735;0
2016;Formosa;615;0;0;133;482;0
2016;Jujuy;2010;471;53;750;736;0
2016;La Pampa;615182;157250;19;243851;214063;0
2016;La Rioja;334;0;0;9;325;0
2016;Mendoza;93529;4499;885;13665;74481;0
2016;Misiones;2665;30;14;152;2469;0
2016;Neuquén;38356;38;11;893;37415;0
2016;Río Negro;60176;67;12;12350;47747;0
2016;Salta;4666;311;530;525;3300;0
2016;San Juan;2100;0;160;1;1938;0
2016;San Luis;97861;123;0;18344;79394;0
2016;Santa Cruz;1036;31;0;474;531;0
2016;Santa Fe;1107;102;87;98;820;0
2016;Santiago del Estero;1675;34;0;782;859;0
2016;Tierra del Fuego;10;5;0;1;4;0
2016;Tucumán;90;0;0;0;90;0
2017;Buenos Aires;7696;231;359;55;7051;0
2017;Catamarca;45170;1;391;814;43965;0
2017;Chaco;4924;1243;167;323;3191;0
2017;Chubut;521;187;17;186;131;0
2017;Ciudad Autónoma de Bs As;0;0;0;0;0;0
2017;Córdoba;45343;11922;410;3922;29089;0
2017;Corrientes;2388;256;1250;0;883;0
2017;Entre Ríos;372;47;3;102;220;0
2017;Formosa;1343;0;1;31;1311;0
2017;Jujuy;2106;584;71;707;743;0
2017;La Pampa;964408;455175;0;322307;186926;0
2017;La Rioja;734;0;0;0;734;0
2017;Mendoza;418799;78524;245;146563;193467;0
2017;Misiones;1775;0;61;4;1710;0
